photo,article_code,title,section,observable,sources,sig_sim,violation_scene,full_excerpt,LABEL
고소대작업,제523조,작업실 공기의 부피,편3 보건기준 > 장5 이상기압에 의한 건강장해의 예방 > 절2 설비 등,partial,DEPL8,,좁고 밀폐된 고압 작업실 안에 여러 작업자가 빽빽하게 들어가 있어 사람 수에 비해 내부 공간이 매우 부족해 보인다. 작업 공간의 여유가 거의 없어 1인당 필요한 공기 부피가 확보되지 않은 듯한 모습이다.,사업주는 근로자가 고압작업을 하는 경우에는 작업실의 공기의 부피가 고압작업자 1명당 4세제곱미터 이상이 되도록 하여야 한다. <개정 2017.12.28>,n
고소대작업,제133조,정격하중 등의 표시,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절9 양중기 > 관1 총칙,partial,DEPL9,,"크레인이나 호이스트 본체, 조작부 주변을 봐도 정격하중·운전속도·경고표시가 보이지 않는다. 슬링이나 샤클 같은 달기구에도 정격하중을 알 수 있는 태그나 각인이 없어 작업자가 허용 하중을 확인할 수 없는 모습이다.","사업주는 양중기(승강기는 제외한다) 및 달기구를 사용하여 작업하는 운전자 또는 작업자가 보기 쉬운 곳에 해당 기계의 정격하중, 운전속도, 경고표시 등을 부착하여야 한다. 다만, 달기구는 정격하중만 표시한다.",n
고소대작업,제540조,배기ㆍ침하 시의 조치,편3 보건기준 > 장5 이상기압에 의한 건강장해의 예방 > 절3 작업방법 등,no,DEPL10,,,"① 사업주는 물 속에서 작업을 하기 위하여 만들어진 구조물(이하 ""잠함(潛函)""이라 한다)을 물 속으로 가라앉히는 경우에 우선 고압작업자를 잠함의 밖으로 대피시키고 내부의 공기를 바깥으로 내보내야 한다. ② 제1항에 따라 잠함을 가라앉히는 경우에는 유해가스의 발생 여부 또는 그 밖의 사항을 점검하고 고압작업자에게 건강장해를 일으킬 우려가 없는지를 확인한 후에 작업하도록 하여야 한다.",n
지게차,제11조,작업장의 출입구,편1 총칙 > 장2 작업장,partial,SIG1,0.653,"창고 출입구가 지게차 전용 통로와 바로 붙어 있는데, 사람용 문이 따로 없고 주변에 경보등이나 비상벨도 보이지 않는다. 또 다른 사진에서는 출입문을 열면 곧바로 계단이 시작되는데, 사이의 이격거리나 안내표지가 없다.","사업주는 작업장에 출입구(비상구는 제외한다. 이하 같다)를 설치하는 경우 다음 각 호의 사항을 준수하여야 한다.   1. 출입구의 위치, 수 및 크기가 작업장의 용도와 특성에 맞도록 할 것   2. 출입구에 문을 설치하는 경우에는 근로자가 쉽게 열고 닫을 수 있도록 할 것   3. 주된 목적이 하역운반기계용인 출입구에는 인접하여 보행자용 출입구를 따로 설치할 것   4. 하역운반기계의 통로와 인접하여 있는 출입구에서 접촉에 의하여 근로자에게 위험을 미칠 우려가 있는 경우에는 비상등ㆍ비상벨 등 경보",n
지게차,제195조,통행의 제한 등,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절11 컨베이어,yes,SIG2/DEPL5,0.617,"가동 중인 컨베이어 위를 건너야 하는 위치인데 전용 건널다리가 없어서 작업자가 설비를 직접 넘고 있다. 동일선상으로 이어진 구간별 컨베이어 사이에는 중량물 충돌을 막는 스토퍼가 없고, 작업자가 그 사이 공간에 그대로 드나들 수 있게 열려 있다.",① 사업주는 운전 중인 컨베이어등의 위로 근로자를 넘어가도록 하는 경우에는 위험을 방지하기 위하여 건널다리를 설치하는 등 필요한 조치를 하여야 한다. ② 사업주는 동일선상에 구간별 설치된 컨베이어에 중량물을 운반하는 경우에는 중량물 충돌에 대비한 스토퍼를 설치하거나 작업자 출입을 금지하여야 한다.,y
지게차,제179조,전조등 등의 설치,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절10 차량계 하역운반기계등 > 관2 지게차,partial,SIG3/DEPL2,0.606,작업장 안을 주행하는 지게차의 전면이나 후면에 등화장치가 보이지 않는다. 보행 근로자가 가까이 있는 하역 구역인데도 지게차 후방에 경광등이나 후방감지기 같은 후방확인 장치가 보이지 않는다.,"① 사업주는 전조등과 후미등을 갖추지 아니한 지게차를 사용해서는 아니 된다. 다만, 작업을 안전하게 수행하기 위하여 필요한 조명이 확보되어 있는 장소에서 사용하는 경우에는 그러하지 아니하다. ② 사업주는 지게차 작업 중 근로자와 충돌할 위험이 있는 경우에는 지게차에 후진경보기와 경광등을 설치하거나 후방감지기를 설치하는 등 후방을 확인할 수 있는 조치를 해야 한다.",m
지게차,제144조,건설물 등과의 사이 통로,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절9 양중기 > 관2 크레인,partial,SIG4,0.59,공장 내부에서 주행 크레인과 벽 또는 설비 사이에 사람이 겨우 비집고 지나갈 정도의 좁은 통로가 보인다. 다른 장면에서는 작업자가 주행궤도나 통로 위에서 점검 중인데 바로 인접한 위치에 크레인이 있어 접촉 위험이 느껴진다.,"① 사업주는 주행 크레인 또는 선회 크레인과 건설물 또는 설비와의 사이에 통로를 설치하는 경우 그 폭을 0.6미터 이상으로 하여야 한다. 다만, 그 통로 중 건설물의 기둥에 접촉하는 부분에 대해서는 0.4미터 이상으로 할 수 있다. ② 사업주는 제1항에 따른 통로 또는 주행궤도 상에서 정비ㆍ보수ㆍ점검 등의 작업을 하는 경우 그 작업에 종사하는 근로자가 주행하는 크레인에 접촉될 우려가 없도록 크레인의 운전을 정지시키는 등 필요한 안전 조치를 하여야 한다.",n
지게차,제414조,유도자의 지정 등,편2 안전기준 > 장8 궤도 관련 작업 등에 의한 위험 방지 > 절3 입환작업 시의 위험방지,partial,SIG5,0.579,"선로에서 입환기가 차량을 밀거나 당기고 있는데 주변에 유도자가 보이지 않거나, 시야가 꺾이는 구간인데도 중간 유도자가 없다. 근로자들이 선로 가까이에 서 있지만 확성기나 경보기 같은 경보장비를 든 사람도 보이지 않는다.","① 입환기 운전자와 유도하는 사람 사이에는 서로 팔이나 기(旗) 또는 등(燈)에 의한 신호를 맨눈으로 확인하여 안전하게 작업하도록 하여야 하고, 맨눈으로 신호를 확인할 수 없는 곳에서의 입환작업은 연계(連繫) 유도자를 두어 작업하도록 하여야 한다. 다만, 정확히 의사를 전달할 수 있는 무전기 등의 통신수단을 지급한 경우에는 연계 유도자를 따로 두지 아니할 수 있다. ② 사업주는 입환기 운행 시 제1항 본문에 따른 유도하는 사람이 근로자의 추락ㆍ충돌ㆍ끼임 등의 위험요인을 감시하면서 입환기를 유도하도",n
지게차,제139조,크레인의 수리 등의 작업,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절9 양중기 > 관2 크레인,partial,SIG6,0.567,"병렬로 놓인 주행 크레인 주행로에서 작업자가 수리나 점검을 하고 있는데, 작업구간에 스토퍼나 충돌 방지 조치가 보이지 않는다. 갠트리 크레인 레일 주변에서는 새들 돌출부와 구조물 사이 간격이 매우 좁은데도 바닥에 안전공간 표시가 없어 끼일 위험이 그대로 드러난다.","① 사업주는 같은 주행로에 병렬로 설치되어 있는 주행 크레인의 수리ㆍ조정 및 점검 등의 작업을 하는 경우, 주행로상이나 그 밖에 주행 크레인이 근로자와 접촉할 우려가 있는 장소에서 작업을 하는 경우 등에 주행 크레인끼리 충돌하거나 주행 크레인이 근로자와 접촉할 위험을 방지하기 위하여 감시인을 두고 주행로상에 스토퍼(stopper)를 설치하는 등 위험 방지 조치를 하여야 한다. ② 사업주는 갠트리 크레인 등과 같이 작업장 바닥에 고정된 레일을 따라 주행하는 크레인의 새들(saddle) 돌출부와 주변",n
지게차,제200조,접촉 방지,편2 안전기준 > 장1 기계ㆍ기구 및 그 밖의 설비에 의한 위험예방 > 절12 건설기계 등 > 관1 차량계 건설기계 등,partial,SIG7,0.564,"굴착기나 덤프트럭이 작업하는 바로 곁이나 앞뒤에 근로자가 함께 서 있거나 지나가고 있다. 기계의 주행로나 선회 범위 안에 사람이 들어와 있는데, 이를 분리하거나 유도하는 사람이 보이지 않는다.","① 사업주는 차량계 건설기계를 사용하여 작업을 하는 경우에는 운전 중인 해당 차량계 건설기계에 접촉되어 근로자가 부딪칠 위험이 있는 장소에 근로자를 출입시켜서는 아니 된다. 다만, 유도자를 배치하고 해당 차량계 건설기계를 유도하는 경우에는 그러하지 아니하다. ② 차량계 건설기계의 운전자는 제1항 단서의 유도자가 유도하는 대로 따라야 한다.",n
지게차,제25조,갱내통로 등의 위험 방지,편1 총칙 > 장3 통로,yes,SIG8,0.564,"갱내 통로나 사다리식 통로 바로 옆에 권상장치가 드러나 있고, 사람과 설비 사이를 막아 주는 판자벽이나 격벽이 보이지 않는다. 근로자가 지나가거나 오르내리는 동선이 권상장치와 바로 맞닿아 접촉 위험이 그대로 노출된 모습이다.",사업주는 갱내에 설치한 통로 또는 사다리식 통로에 권상장치(卷上裝置)가 설치된 경우 권상장치와 근로자의 접촉에 의한 위험이 있는 장소에 판자벽이나 그 밖에 위험 방지를 위한 격벽(隔壁)을 설치하여야 한다.,n
